Year,Round,Pick,Player,College,Games,Minutes Played,PTS,TRB,AST,FG%,3P%,FT%,Minutes Played per game,PTS per game,TBR per game,AST per game,WS,Team
1996,1,20,Zydrunas Ilgauskas,Out US,843,22965,10976,6191,955,0.476,0.31,0.78,27.2,13.0,7.3,1.1,66.3,CLE
1996,2,56,Reggie Geary,Arizona,101,931,209,82,110,0.344,0.328,0.493,9.2,2.1,0.8,1.1,0.6,CLE
1995,1,17,Bob Sura,Florida State,657,15597,5654,2240,2474,0.414,0.325,0.689,23.7,8.6,3.4,3.8,28.3,CLE
1995,2,39,Donny Marshall,UConn,119,919,293,121,36,0.321,0.336,0.681,7.7,2.5,1.0,0.3,0.9,CLE
1993,1,22,Chris Mills,Arizona,568,17282,6357,2808,1063,0.432,0.351,0.817,30.4,11.2,4.9,1.9,37.7,CLE
1991,1,11,Terrell Brandon,Oregon,724,21545,9994,2174,4407,0.448,0.355,0.873,29.8,13.8,3.0,6.1,65.9,CLE
1991,2,39,Jimmy Oliver,Purdue,78,856,331,80,55,0.407,0.34,0.772,11.0,4.2,1.0,0.7,0.3,CLE
1990,2,52,Stefano Rusconi,Out US,7,30,8,6,3,0.333,0.0,0.4,4.3,1.1,0.9,0.4,-0.1,CLE
1989,1,25,John Morton,Seton Hall,128,1879,609,161,342,0.386,0.224,0.787,14.7,4.8,1.3,2.7,0.5,CLE
1989,2,43,Chucky Brown,NC State,694,11962,4125,2148,549,0.491,0.227,0.699,17.2,5.9,3.1,0.8,19.0,CLE
1988,1,22,Randolph Keys,Southern Miss,241,3318,1262,551,192,0.425,0.272,0.721,13.8,5.2,2.3,0.8,2.3,CLE
1988,3,64,Winston Bennett,Kentucky,136,2157,648,414,120,0.425,0.0,0.694,15.9,4.8,3.0,0.9,1.7,CLE
1987,1,7,Kevin Johnson,California,735,25061,13127,2404,6711,0.493,0.305,0.841,34.1,17.9,3.3,9.1,92.8,CLE
1987,2,41,Kannard Johnson,Western Kentucky,4,12,2,0,0,0.333,0.0,0.0,3.0,0.5,0.0,0.0,-0.1,CLE
1987,3,52,Donald Royal,Notre Dame,504,8442,3161,1431,500,0.473,0.0,0.77,16.8,6.3,2.8,1.0,19.1,CLE
1987,4,75,Chris Dudley,Yale,886,16321,3473,5457,375,0.412,0.0,0.458,18.4,3.9,6.2,0.4,26.2,CLE
1986,1,1,Brad Daugherty,UNC,548,20029,10389,5227,2028,0.532,0.143,0.747,36.5,19.0,9.5,3.7,65.2,CLE
1986,1,8,Ron Harper,Miami University,1009,31199,13910,4309,3916,0.446,0.289,0.72,30.9,13.8,4.3,3.9,65.8,CLE
1986,2,29,Johnny Newman,Richmond,1159,28435,12740,2536,1688,0.461,0.336,0.81,24.5,11.0,2.2,1.5,50.3,CLE
1986,3,50,Kevin Henderson,Cal State Fullerton,22,235,65,24,34,0.393,0.0,0.607,10.7,3.0,1.1,1.5,-0.2,CLE
1985,1,9,Charles Oakley,Virginia Union University,1282,40280,12417,12205,3217,0.471,0.253,0.761,31.4,9.7,9.5,2.5,89.7,CLE
1985,2,45,Hot Rod Williams,Tulane,887,26327,9784,5998,1592,0.48,0.105,0.726,29.7,11.0,6.8,1.8,70.5,CLE
1985,4,79,Mark Davis,Old Dominion,33,258,127,37,14,0.48,0.1,0.824,7.8,3.8,1.1,0.4,0.7,CLE
1984,1,12,Tim McCormick,Michigan,483,10390,4030,2366,491,0.535,0.063,0.703,21.5,8.3,4.9,1.0,21.5,CLE
1984,2,27,Ron Anderson,Fresno State,664,15112,7056,2312,952,0.471,0.287,0.814,22.8,10.6,3.5,1.4,24.2,CLE
1984,3,50,Ben McDonald,University of California Irvine,176,3692,1061,568,236,0.468,0.227,0.727,21.0,6.0,3.2,1.3,2.5,CLE
1983,1,20,Roy Hinson,Rutgers University,507,15543,7206,3452,495,0.499,0.0,0.741,30.7,14.2,6.8,1.0,30.2,CLE
1983,1,24,Stewart Granger,Villanova,80,996,316,78,173,0.414,0.235,0.742,12.5,4.0,1.0,2.2,-0.1,CLE
1983,2,27,John Garris,Boston College,33,267,131,77,10,0.51,0.0,0.794,8.1,4.0,2.3,0.3,0.9,CLE
1983,3,50,Paul Thompson,Tulane,154,3105,1374,533,224,0.432,0.21,0.792,20.2,8.9,3.5,1.5,4.9,CLE
1982,1,12,John Bagley,Boston College,665,17120,5802,1729,3980,0.437,0.241,0.779,25.7,8.7,2.6,6.0,16.6,CLE
1982,2,28,Dave Magley,Kansas,14,56,12,10,2,0.25,0.0,0.5,4.0,0.9,0.7,0.1,-0.1,CLE
1982,3,47,Michael Wilson,Marquette,32,338,108,36,45,0.438,0.0,0.75,10.6,3.4,1.1,1.4,0.3,CLE
1981,3,55,Mickey Dillard,Florida State,33,221,73,15,34,0.367,0.0,0.652,6.7,2.2,0.5,1.0,-0.2,CLE
1980,1,22,Chad Kinch,UNC Charlotte,41,353,118,33,45,0.369,0.0,0.778,8.6,2.9,0.8,1.1,-0.5,CLE
1979,2,26,Bruce Flowers,Notre Dame,53,699,261,180,47,0.534,0.0,0.774,13.2,4.9,3.4,0.9,1.7,CLE
1979,3,65,Bill Laimbeer,Notre Dame,1068,33956,13790,10400,2184,0.498,0.326,0.837,31.8,12.9,9.7,2.0,105.6,CLE
1978,1,15,Mike Mitchell,Auburn,759,24537,15016,4246,1010,0.493,0.0,0.779,32.3,19.8,5.6,1.3,50.2,CLE
1978,2,33,Harry Davis,Florida State,44,424,175,72,16,0.436,0.0,0.689,9.6,4.0,1.6,0.4,0.3,CLE
1978,3,57,Ken Higgs,LSU,216,4435,1470,391,944,0.441,0.0,0.804,20.5,6.8,1.8,4.4,4.6,CLE
1977,2,33,Eddie Jordan,Rutgers University,420,8507,3414,788,1595,0.414,0.0,0.763,20.3,8.1,1.9,3.8,8.8,CLE
1976,1,15,Chuckie Williams,Kansas State,22,65,37,4,7,0.298,0.0,0.75,3.0,1.7,0.2,0.3,-0.2,CLE
1976,2,32,Mo Howard,Maryland,32,345,152,39,42,0.485,0.0,0.686,10.8,4.8,1.2,1.3,0.6,CLE
1976,3,50,Gary Cole,University of Wisconsin-Parkside,143,2394,1290,500,160,0.473,0.0,0.802,16.7,9.0,3.5,1.1,5.4,CLE
1976,5,84,Edmund Lawrence,McNeese State University,3,19,12,4,1,0.625,0.0,0.5,6.3,4.0,1.3,0.3,0.1,CLE
1975,1,15,John Lambert,USC,446,5564,1688,1493,248,0.428,0.0,0.693,12.5,3.8,3.3,0.6,6.9,CLE
1975,2,28,Dan Roundfield,Central Michigan University,746,23443,11318,7243,1620,0.485,0.0,0.738,31.4,15.2,9.7,2.2,65.2,CLE
1975,4,62,Eric Fernsten,San Francisco,218,1643,517,372,82,0.445,0.0,0.675,7.5,2.4,1.7,0.4,3.3,CLE
1975,6,99,Henry Ward,Jackson State University,27,171,83,33,6,0.378,0.0,0.882,6.3,3.1,1.2,0.2,-0.1,CLE
1975,8,136,Andre McCarter,UCLA,103,1182,392,95,172,0.431,0.0,0.725,11.5,3.8,0.9,1.7,1.1,CLE
1974,1,8,Campy Russell,Michigan,566,16781,8953,2696,1684,0.459,0.0,0.772,29.6,15.8,4.8,3.0,35.8,CLE
1974,3,38,Foots Walker,West Georgia,658,15036,4199,1686,3111,0.435,0.0,0.762,22.9,6.4,2.6,4.7,31.0,CLE
1974,3,39,Kevin Restani,San Francisco,550,10114,3386,2206,747,0.486,0.0,0.717,18.4,6.2,4.0,1.4,14.8,CLE
1973,1,2,Jim Brewer,Minnesota,703,15936,4099,4458,1038,0.448,0.0,0.571,22.7,5.8,6.3,1.5,29.3,CLE
1973,4,57,Luke Witte,Ohio State,118,1098,372,357,60,0.402,0.0,0.685,9.3,3.2,3.0,0.5,1.2,CLE
1973,5,74,John Coughran,California,24,160,68,19,12,0.358,0.222,0.571,6.7,2.8,0.8,0.5,-0.3,CLE
1972,1,3,Dwight Davis,Houston,340,8010,2936,1991,529,0.423,0.0,0.73,23.6,8.6,5.9,1.6,11.4,CLE
1972,2,24,Steve Hawes,Washington,688,15831,5768,4272,1288,0.483,0.0,0.79,23.0,8.4,6.2,1.9,37.1,CLE
1971,1,1,Austin Carr,Notre Dame,682,19660,10473,1990,1878,0.449,0.0,0.804,28.8,15.4,2.9,2.8,32.9,CLE
1971,2,18,Steve Patterson,UCLA,350,5582,1552,1632,443,0.403,0.0,0.594,15.9,4.4,4.7,1.3,4.8,CLE
1971,3,41,Jackie Ridgle,California,32,107,57,15,7,0.432,0.0,0.731,3.3,1.8,0.5,0.2,0.2,CLE
1971,8,120,Charlie Davis,Wake Forest,144,2653,1287,219,319,0.408,0.0,0.806,18.4,8.9,1.5,2.2,1.4,CLE
1970,1,7,John Johnson,Iowa,869,25681,11200,4778,3285,0.446,0.0,0.779,29.6,12.9,5.5,3.8,37.1,CLE
1970,2,26,Dave Sorenson,Ohio State,213,3857,1734,997,280,0.442,0.0,0.778,18.1,8.1,4.7,1.3,5.4,CLE
1970,6,94,Joe Cooke,Indiana,73,725,316,114,93,0.393,0.0,0.814,9.9,4.3,1.6,1.3,-0.4,CLE
2023,1,10,Cason Wallace,Kentucky,82,1692,561,187,120,0.491,0.419,0.784,20.6,6.8,2.3,1.5,4.0,DAL
2022,1,26,Wendell Moore,Duke,54,228,60,30,24,0.443,0.087,0.8,4.2,1.1,0.6,0.4,0.2,DAL
2020,1,18,Josh Green,Arizona,223,4528,1435,605,340,0.503,0.375,0.689,20.3,6.4,2.7,1.5,7.7,DAL
2020,2,31,Tyrell Terry,Stanford,13,59,13,6,6,0.353,0.0,0.333,4.5,1.0,0.5,0.5,0.0,DAL
2019,2,37,Deividas Sirvydis,Out US,23,160,44,35,6,0.3,0.314,0.5,7.0,1.9,1.5,0.3,-0.1,DAL
2018,1,5,Trae Young,Oklahoma,407,13883,10379,1451,3868,0.436,0.355,0.873,34.1,25.5,3.6,9.5,37.6,DAL
2018,2,33,Jalen Brunson,Villanova,422,11939,7131,1362,1974,0.489,0.391,0.824,28.3,16.9,3.2,4.7,37.2,DAL
2018,2,54,Shake Milton,SMU,302,5861,2584,679,754,0.451,0.358,0.827,19.4,8.6,2.2,2.5,10.4,DAL
2017,1,9,Dennis Smith,NC State,326,7601,3160,967,1381,0.407,0.298,0.674,23.3,9.7,3.0,4.2,2.3,DAL
2016,2,46,A.J. Hammons,Purdue,22,163,48,36,4,0.405,0.5,0.45,7.4,2.2,1.6,0.2,0.0,DAL
2015,1,21,Justin Anderson,Virginia,242,3280,1284,621,184,0.41,0.292,0.775,13.6,5.3,2.6,0.8,4.9,DAL
2013,1,13,Kelly Olynyk,Gonzaga,756,17109,7755,3918,1847,0.485,0.369,0.798,22.6,10.3,5.2,2.4,44.4,DAL
2013,2,44,Mike Muscala,Bucknell,548,8239,3206,1699,464,0.451,0.373,0.83,15.0,5.9,3.1,0.8,19.2,DAL
2012,1,17,Tyler Zeller,UNC,414,7254,2873,1820,367,0.508,0.286,0.764,17.5,6.9,4.4,0.9,17.1,DAL
2012,2,55,Darius Johnson-Odom,Marquette,7,21,0,6,2,0.0,0.0,0.0,3.0,0.0,0.9,0.3,-0.3,DAL
2011,1,26,Jordan Hamilton,Texas,151,2100,890,429,127,0.408,0.357,0.67,13.9,5.9,2.8,0.8,3.0,DAL
2010,2,50,Solomon Alabi,Florida State,26,181,39,61,5,0.314,0.0,0.7,7.0,1.5,2.3,0.2,0.0,DAL
2009,1,24,Byron Mullens,Ohio State,189,3446,1398,790,153,0.408,0.319,0.706,18.2,7.4,4.2,0.8,0.6,DAL
2007,2,34,Nick Fazekas,Nevada,26,269,107,89,11,0.561,0.0,0.682,10.3,4.1,3.4,0.4,0.8,DAL
2006,1,28,Maurice Ager,Michigan State,82,505,169,46,19,0.339,0.25,0.566,6.2,2.1,0.6,0.2,-0.9,DAL
2004,2,50,Vassilis Spanoulis,Out US,31,272,85,22,28,0.319,0.172,0.81,8.8,2.7,0.7,0.9,-0.1,DAL
2003,1,29,Josh Howard,Wake Forest,507,15350,7270,2886,817,0.448,0.332,0.77,30.3,14.3,5.7,1.6,38.0,DAL
2001,2,54,Kenny Satterfield,Cincinnati,75,1062,321,95,176,0.335,0.218,0.746,14.2,4.3,1.3,2.3,-1.1,DAL
2000,1,12,Etan Thomas,Syracuse,409,7084,2341,1927,149,0.513,0.0,0.603,17.3,5.7,4.7,0.4,14.9,DAL
2000,2,31,Dan Langhi,Vanderbilt,133,1253,393,199,39,0.391,0.289,0.613,9.4,3.0,1.5,0.3,0.3,DAL
1999,2,36,Wang Zhizhi,Out US,137,1256,604,231,39,0.417,0.385,0.735,9.2,4.4,1.7,0.3,2.1,DAL
1999,2,40,Gordan Giriček,Out US,384,8824,3670,941,584,0.442,0.368,0.823,23.0,9.6,2.5,1.5,8.0,DAL
1998,1,6,Robert Traylor,Michigan,438,6243,2085,1640,312,0.474,0.167,0.577,14.3,4.8,3.7,0.7,13.3,DAL
1998,2,30,Ansu Sesay,Ole Miss,127,1301,401,223,62,0.434,0.276,0.64,10.2,3.2,1.8,0.5,1.4,DAL
1998,2,35,Bruno Šundov,Out US,102,524,173,107,18,0.356,0.208,0.526,5.1,1.7,1.0,0.2,-0.7,DAL
1998,2,53,Greg Buckner,Clemson,570,10895,2878,1593,719,0.45,0.334,0.757,19.1,5.0,2.8,1.3,20.9,DAL
1997,1,15,Kelvin Cato,Iowa State,541,10617,2960,2874,244,0.507,0.077,0.644,19.6,5.5,5.3,0.5,28.6,DAL
1997,2,35,Bubba Wells,Austin Peay State University,39,395,128,68,34,0.414,0.167,0.721,10.1,3.3,1.7,0.9,0.1,DAL
1996,1,9,Samaki Walker,Louisville,445,7612,2376,2089,252,0.462,0.111,0.63,17.1,5.3,4.7,0.6,14.2,DAL
1995,1,12,Cherokee Parks,Duke,472,7459,2056,1703,265,0.47,0.211,0.63,15.8,4.4,3.6,0.6,11.8,DAL
1995,1,24,Loren Meyer,Iowa State,140,2044,645,480,77,0.432,0.348,0.696,14.6,4.6,3.4,0.6,0.5,DAL
1994,1,2,Jason Kidd,California,1391,50111,17529,8725,12091,0.4,0.349,0.785,36.0,12.6,6.3,8.7,138.6,DAL
1994,1,19,Tony Dumas,Missouri-Kansas City,156,2222,1140,198,186,0.404,0.327,0.608,14.2,7.3,1.3,1.2,1.3,DAL
1993,1,4,Jamal Mashburn,Kentucky,611,22762,11644,3271,2414,0.418,0.345,0.766,37.3,19.1,5.4,4.0,43.7,DAL
1993,2,28,Lucious Harris,Cal State Long Beach,800,15701,5784,1864,1130,0.426,0.348,0.79,19.6,7.2,2.3,1.4,28.7,DAL
1993,2,33,Eric Riley,Michigan,186,1844,574,479,60,0.456,0.0,0.704,9.9,3.1,2.6,0.3,2.5,DAL
1992,1,4,Jim Jackson,Ohio State,885,29067,12690,4152,2851,0.428,0.365,0.825,32.8,14.3,4.7,3.2,35.8,DAL
1992,2,30,Sean Rooks,Arizona,749,13560,4676,2877,631,0.459,0.091,0.699,18.1,6.2,3.8,0.8,16.2,DAL
1991,1,6,Doug Smith,Missouri,296,5833,2356,1234,400,0.425,0.083,0.773,19.7,8.0,4.2,1.4,3.0,DAL
1991,2,33,Donald Hodge,Temple,249,3501,1182,809,191,0.437,0.286,0.711,14.1,4.7,3.2,0.8,1.8,DAL
1991,2,35,Mike Iuzzolino,Saint Francis University,122,3049,1096,238,522,0.457,0.404,0.798,25.0,9.0,2.0,4.3,3.7,DAL
1989,1,8,Randy White,Louisiana Tech,281,5382,2083,1366,175,0.401,0.193,0.707,19.2,7.4,4.9,0.6,1.9,DAL
1989,2,35,Pat Durham,Colorado State,64,930,323,108,57,0.469,0.192,0.667,14.5,5.0,1.7,0.9,0.7,DAL
1988,2,46,Morlon Wiley,Cal State Long Beach,295,3843,1078,341,722,0.412,0.354,0.707,13.0,3.7,1.2,2.4,2.7,DAL
1987,1,20,Jim Farmer,Alabama,136,1454,715,186,111,0.428,0.282,0.73,10.7,5.3,1.4,0.8,0.7,DAL
1987,2,26,Steve Alford,Indiana,169,1641,744,144,176,0.459,0.324,0.87,9.7,4.4,0.9,1.0,3.2,DAL
1986,1,7,Roy Tarpley,Michigan,280,7476,3533,2803,292,0.483,0.176,0.744,26.7,12.6,10.0,1.0,19.8,DAL
1986,2,25,Mark Price,Georgia Tech,722,21560,10989,1848,4863,0.472,0.402,0.904,29.9,15.2,2.6,6.7,71.1,DAL
1986,2,35,Milt Wagner,Louisville,53,496,215,35,76,0.422,0.296,0.875,9.4,4.1,0.7,1.4,0.4,DAL
1986,4,85,Myron Jackson,Little Rock,8,22,11,3,6,0.222,0.0,0.875,2.8,1.4,0.4,0.8,0.0,DAL
1985,1,8,Detlef Schrempf,Washington,1136,33597,15761,7023,3833,0.491,0.384,0.803,29.6,13.9,6.2,3.4,109.5,DAL
1985,1,16,Bill Wennington,St. John's,720,9740,3301,2148,440,0.459,0.139,0.787,13.5,4.6,3.0,0.6,17.7,DAL
1985,1,17,Uwe Blab,Indiana,235,1966,505,413,102,0.433,0.0,0.608,8.4,2.1,1.8,0.4,0.4,DAL
1985,2,40,Mark Acres,Oral Roberts,375,5982,1343,1525,180,0.506,0.538,0.665,16.0,3.6,4.1,0.5,9.3,DAL
1985,3,63,Harold Keeling,Santa Clara,20,75,44,6,10,0.436,0.0,0.714,3.8,2.2,0.3,0.5,0.1,DAL
1984,1,4,Sam Perkins,UNC,1286,36598,15324,7666,1975,0.459,0.362,0.811,28.5,11.9,6.0,1.5,105.4,DAL
1984,1,15,Terence Stansbury,Temple,192,2984,1200,277,390,0.444,0.224,0.779,15.5,6.3,1.4,2.0,2.4,DAL
1984,2,38,Charlie Sitton,Oregon State,43,304,91,60,26,0.415,0.0,0.52,7.1,2.1,1.4,0.6,0.1,DAL
1984,2,41,Tom Sluby,Notre Dame,31,151,73,12,16,0.517,0.0,0.619,4.9,2.4,0.4,0.5,0.2,DAL
1984,3,61,Jeff Cross,University of Maine,21,128,26,30,1,0.25,0.0,0.56,6.1,1.2,1.4,0.0,-0.1,DAL
1983,1,9,Dale Ellis,Tennessee,1209,34778,19004,4201,1746,0.479,0.403,0.784,28.8,15.7,3.5,1.4,84.7,DAL
1983,1,11,Derek Harper,Illinois,1199,37786,16006,2884,6577,0.463,0.354,0.745,31.5,13.3,2.4,5.5,86.8,DAL
1983,2,30,Mark West,Old Dominion,1090,20213,6259,5347,428,0.58,0.0,0.568,18.5,5.7,4.9,0.4,41.9,DAL
1983,2,33,Dirk Minniefield,Kentucky,222,3801,1187,367,845,0.47,0.272,0.739,17.1,5.3,1.7,3.8,4.1,DAL
1983,5,102,Jim Lampley,Little Rock,1,16,3,5,0,0.333,0.0,0.5,16.0,3.0,5.0,0.0,0.0,DAL
1982,1,4,Bill Garnett,Wyoming,300,5260,1638,1298,393,0.49,0.0,0.72,17.5,5.5,4.3,1.3,10.8,DAL
1982,3,50,Corny Thompson,UConn,44,520,122,120,34,0.314,0.0,0.783,11.8,2.8,2.7,0.8,-0.1,DAL
1981,1,1,Mark Aguirre,DePaul,923,27730,18458,4578,2871,0.484,0.312,0.741,30.0,20.0,5.0,3.1,67.8,DAL
1981,1,9,Rolando Blackman,Kansas State,980,32087,17623,3278,2981,0.493,0.343,0.84,32.7,18.0,3.3,3.0,75.6,DAL
1981,2,24,Jay Vincent,Michigan State,576,15556,8729,3167,1124,0.474,0.148,0.784,27.0,15.2,5.5,2.0,27.5,DAL
1981,2,43,Elston Turner,Ole Miss,505,9006,2397,1375,914,0.432,0.152,0.714,17.8,4.7,2.7,1.8,8.5,DAL
1980,1,11,Kiki Vandeweghe,UCLA,810,24521,15980,2785,1668,0.525,0.368,0.872,30.3,19.7,3.4,2.1,75.6,DAL
1980,3,57,Dave Britton,Texas A&M,2,9,4,2,3,0.667,0.0,0.0,4.5,2.0,1.0,1.5,0.0,DAL
1980,5,103,Darrell Allums,UCLA,22,276,59,65,25,0.343,0.0,0.591,12.5,2.7,3.0,1.1,-0.3,DAL
1980,8,169,Clarence Kea,Lamar,51,447,198,128,19,0.485,0.0,0.692,8.8,3.9,2.5,0.4,1.0,DAL
2023,2,40,Maxwell Lewis,Pepperdine,34,103,11,4,6,0.19,0.111,0.667,3.0,0.3,0.1,0.2,-0.4,DEN
2022,1,21,Christian Braun,Kansas,158,2836,960,487,191,0.473,0.373,0.672,17.9,6.1,3.1,1.2,5.4,DEN
2021,1,26,Bones Hyland,VCU,162,2935,1613,378,456,0.398,0.361,0.844,18.1,10.0,2.3,2.8,3.8,DEN
2020,1,22,Zeke Nnaji,Arizona,194,2399,869,476,77,0.512,0.37,0.662,12.4,4.5,2.5,0.4,5.4,DEN
2018,1,14,Michael Porter,Missouri,268,7443,4199,1669,320,0.499,0.41,0.807,27.8,15.7,6.2,1.2,20.1,DEN
2018,2,58,Thomas Welsh,UCLA,11,36,18,4,5,0.538,0.429,0.5,3.3,1.6,0.4,0.5,0.1,DEN
2017,1,13,Donovan Mitchell,Louisville,468,16011,11619,2002,2176,0.45,0.366,0.843,34.2,24.8,4.3,4.6,44.4,DEN
2017,2,49,Vlatko Čančar,Out US,130,1391,461,219,114,0.479,0.361,0.847,10.7,3.5,1.7,0.9,2.5,DEN
2017,2,51,Monte Morris,Iowa State,375,9237,3747,922,1437,0.477,0.391,0.824,24.6,10.0,2.5,3.8,23.9,DEN
2016,1,7,Jamal Murray,Kentucky,469,14378,8187,1757,2106,0.452,0.38,0.867,30.7,17.5,3.7,4.5,31.9,DEN
2016,1,15,Juan Hernangómez,Out US,339,5269,1711,1131,216,0.428,0.342,0.676,15.5,5.0,3.3,0.6,8.7,DEN
2016,1,19,Malik Beasley,Florida State,496,11456,5402,1398,650,0.425,0.385,0.8,23.1,10.9,2.8,1.3,15.4,DEN
2016,2,53,Petr Cornelie,Out US,13,38,14,14,3,0.333,0.125,0.75,2.9,1.1,1.1,0.2,0.0,DEN
2016,2,56,Daniel Hamilton,UConn,25,232,69,52,30,0.394,0.357,0.5,9.3,2.8,2.1,1.2,0.0,DEN
2015,1,7,Emmanuel Mudiay,Out US,302,7187,3299,884,1143,0.401,0.323,0.744,23.8,10.9,2.9,3.8,-0.2,DEN
2014,1,11,Doug McDermott,Creighton,655,13230,5851,1434,657,0.471,0.41,0.806,20.2,8.9,2.2,1.0,21.1,DEN
2014,2,41,Nikola Jokić,Out US,675,21078,14139,7249,4667,0.557,0.35,0.827,31.2,20.9,10.7,6.9,111.6,DEN
2014,2,56,Devyn Marble,Iowa,44,457,97,69,29,0.304,0.222,0.375,10.4,2.2,1.6,0.7,-0.3,DEN
2013,1,27,Rudy Gobert,Out US,757,23042,9592,8915,996,0.655,0.0,0.639,30.4,12.7,11.8,1.3,106.0,DEN
2012,1,20,Evan Fournier,Out US,704,19514,9607,1878,1759,0.441,0.374,0.799,27.7,13.6,2.7,2.5,30.5,DEN
2012,2,38,Quincy Miller,Baylor,69,934,295,169,37,0.35,0.292,0.706,13.5,4.3,2.4,0.5,-0.1,DEN
2011,1,22,Kenneth Faried,Morehead State University,478,11728,5430,3884,470,0.546,0.222,0.654,24.5,11.4,8.1,1.0,38.8,DEN
2006,2,49,Leon Powe,California,239,3320,1484,911,78,0.515,0.0,0.682,13.9,6.2,3.8,0.3,12.0,DEN
2005,1,20,Julius Hodge,NC State,23,98,28,15,18,0.44,0.0,0.5,4.3,1.2,0.7,0.8,0.0,DEN
2005,1,22,Jarrett Jack,Georgia Tech,867,24140,9349,2487,3952,0.44,0.343,0.855,27.8,10.8,2.9,4.6,36.8,DEN
2004,1,20,Jameer Nelson,Saint Joseph's,878,24539,9940,2595,4508,0.436,0.368,0.81,27.9,11.3,3.0,5.1,48.3,DEN
2003,1,3,Carmelo Anthony,Syracuse,1260,43514,28289,7808,3422,0.447,0.355,0.814,34.5,22.5,6.2,2.7,108.5,DEN
2002,1,5,Nikoloz Tskitishvili,Out US,172,1946,507,307,114,0.304,0.235,0.73,11.3,2.9,1.8,0.7,-1.6,DEN
2002,1,25,Frank Williams,Illinois,86,952,253,77,166,0.352,0.3,0.833,11.1,2.9,0.9,1.9,0.1,DEN
2002,2,33,Vincent Yarbrough,Tennessee,59,1381,406,162,130,0.393,0.269,0.79,23.4,6.9,2.7,2.2,1.0,DEN
2000,1,26,Mamadou N'Diaye,Auburn,69,858,262,225,8,0.427,0.0,0.736,12.4,3.8,3.3,0.1,1.8,DEN
2000,2,53,Dan McClintock,Northern Arizona University,6,58,18,17,1,0.5,0.0,0.0,9.7,3.0,2.8,0.2,0.0,DEN
1999,1,18,James Posey,Xavier,864,23260,7419,4061,1413,0.41,0.349,0.82,26.9,8.6,4.7,1.6,51.6,DEN
1999,2,33,Chris Herren,Fresno State,70,1005,224,73,167,0.336,0.328,0.692,14.4,3.2,1.0,2.4,0.5,DEN
1999,2,41,Francisco Elson,California,472,7207,1726,1638,260,0.478,0.188,0.7,15.3,3.7,3.5,0.6,11.7,DEN
1998,1,3,Raef LaFrentz,Kansas,563,14545,5690,3423,606,0.466,0.363,0.711,25.8,10.1,6.1,1.1,39.4,DEN
1998,1,23,Tyronn Lue,Nebraska,554,12564,4710,943,1727,0.437,0.391,0.829,22.7,8.5,1.7,3.1,19.7,DEN
1998,2,54,Tremaine Fowlkes,Fresno State,103,1233,301,228,54,0.409,0.2,0.791,12.0,2.9,2.2,0.5,2.1,DEN
1998,2,55,Ryan Bowen,Iowa,507,6502,1319,1060,250,0.456,0.206,0.693,12.8,2.6,2.1,0.5,12.4,DEN
1997,1,5,Tony Battie,Texas Tech,837,17649,5082,4287,522,0.488,0.162,0.69,21.1,6.1,5.1,0.6,36.4,DEN
1997,2,33,James Cotton,Cal State Long Beach,19,92,49,16,0,0.359,0.0,0.778,4.8,2.6,0.8,0.0,0.0,DEN
1997,2,42,Jason Lawson,Villanova,17,80,26,27,5,0.6,0.0,0.8,4.7,1.5,1.6,0.3,0.5,DEN
1996,1,23,Efthimi Rentzias,Out US,35,144,52,26,7,0.339,0.5,0.889,4.1,1.5,0.7,0.2,0.2,DEN
1996,2,37,Jeff McInnis,UNC,576,15927,5396,1170,2514,0.431,0.328,0.796,27.7,9.4,2.0,4.4,23.1,DEN
1995,1,15,Brent Barry,Oregon State,912,23643,8488,2780,2892,0.46,0.405,0.823,25.9,9.3,3.0,3.2,70.5,DEN
1994,1,13,Jalen Rose,Michigan,923,27925,13220,3193,3527,0.443,0.355,0.801,30.3,14.3,3.5,3.8,47.2,DEN
1993,1,9,Rodney Rogers,Wake Forest,866,21873,9468,3881,1722,0.451,0.347,0.69,25.3,10.9,4.5,2.0,38.8,DEN
1993,2,43,Josh Grant,Utah,53,382,157,89,24,0.404,0.279,0.759,7.2,3.0,1.7,0.5,0.5,DEN
1992,1,5,LaPhonso Ellis,Notre Dame,624,17616,7410,4032,981,0.452,0.302,0.73,28.2,11.9,6.5,1.6,32.8,DEN
1992,1,13,Bryant Stith,Virginia,586,16417,5946,1983,1178,0.424,0.329,0.841,28.0,10.1,3.4,2.0,29.5,DEN
1992,2,46,Robert Werdann,St. John's,47,273,101,81,9,0.378,0.0,0.574,5.8,2.1,1.7,0.2,0.1,DEN
1991,1,4,Dikembe Mutombo,Georgetown,1196,36791,11729,12359,1240,0.518,0.0,0.684,30.8,9.8,10.3,1.0,117.0,DEN
1991,1,8,Mark Macon,Temple,251,5018,1685,467,428,0.384,0.27,0.735,20.0,6.7,1.9,1.7,0.1,DEN
1990,1,3,Mahmoud Abdul-Rauf,LSU,586,15628,8553,1087,2079,0.442,0.354,0.905,26.7,14.6,1.9,3.5,25.2,DEN
1990,2,42,Marcus Liberty,Illinois,267,4568,1942,925,244,0.417,0.34,0.664,17.1,7.3,3.5,0.9,4.0,DEN
1989,1,15,Todd Lichti,Stanford,237,4240,1870,505,325,0.46,0.244,0.789,17.9,7.9,2.1,1.4,5.6,DEN
