Year,Round,Pick,Player,College,Games,Minutes Played,PTS,TRB,AST,FG%,3P%,FT%,Minutes Played per game,PTS per game,TBR per game,AST per game,WS,Team
1958,1,8,Bennie Swain,Texas Southern,58,708,265,262,29,0.406,0.0,0.609,12.2,4.6,4.5,0.5,1.9,BOS
1957,1,8,Sam Jones,NC Central,871,24285,15411,4305,2209,0.456,0.0,0.803,27.9,17.7,4.9,2.5,92.3,BOS
1957,6,48,Maurice King,Kansas,38,973,226,106,144,0.398,0.0,0.8,25.6,5.9,2.8,3.8,0.0,BOS
1956,1,6,Tom Heinsohn,Holy Cross,654,19254,12194,5749,1318,0.405,0.0,0.79,29.4,18.6,8.8,2.0,60.0,BOS
1956,2,14,K.C. Jones,San Francisco,676,17501,5011,2399,2908,0.387,0.0,0.647,25.9,7.4,3.5,4.3,38.6,BOS
1956,4,30,Dan Swartz,Morehead State University,39,335,175,88,21,0.38,0.0,0.847,8.6,4.5,2.3,0.5,1.0,BOS
1955,1,4,Jim Loscutoff,Oregon,511,9431,3156,2848,353,0.345,0.0,0.653,18.5,6.2,5.6,0.7,3.4,BOS
1955,2,12,Dick Hemric,Wake Forest,138,2384,863,703,102,0.377,0.0,0.669,17.3,6.3,5.1,0.7,5.3,BOS
1954,1,5,Togo Palazzi,Holy Cross,324,4344,2382,1113,233,0.386,0.0,0.73,13.4,7.4,3.4,0.7,6.5,BOS
1954,2,14,Red Morrison,Idaho,155,2216,555,822,135,0.396,0.0,0.572,14.3,3.6,5.3,0.9,2.2,BOS
1953,1,6,Frank Ramsey,Kentucky,623,15330,8378,3410,1134,0.399,0.0,0.804,24.6,13.4,5.5,1.8,49.2,BOS
1951,1,7,Ernie Barrett,Kansas State,131,2092,641,343,229,0.369,0.0,0.748,16.0,4.9,2.6,1.7,0.8,BOS
1951,6,57,Jim Luisi,St. Francis College,31,367,89,25,35,0.326,0.0,0.659,11.8,2.9,0.8,1.1,0.0,BOS
1950,1,1,Chuck Share,Bowling Green,596,13023,4928,4986,809,0.4,0.0,0.693,21.9,8.3,8.4,1.4,42.0,BOS
1950,2,13,Chuck Cooper,Duquesne,409,7964,2725,2431,734,0.339,0.0,0.743,23.2,6.7,5.9,1.8,11.6,BOS
1950,3,25,Bob Donham,Ohio State,273,4866,1818,1071,706,0.48,0.0,0.507,23.7,6.7,3.9,2.6,18.0,BOS
1950,6,61,Mo Mahoney,Brown University,8,45,12,9,2,0.333,0.0,0.8,5.6,1.5,1.1,0.3,0.0,BOS
2023,1,21,Noah Clowney,Alabama,23,370,133,81,18,0.538,0.364,0.7,16.1,5.8,3.5,0.8,0.9,BRK
2023,1,22,Dariq Miller-Whitehead,Duke,2,24,3,4,3,0.2,0.0,0.5,12.0,1.5,2.0,1.5,0.0,BRK
2023,2,51,Jalen Wilson,Kansas,43,664,214,131,45,0.425,0.324,0.826,15.4,5.0,3.0,1.0,1.1,BRK
2021,1,27,Cameron Thomas,LSU,190,4199,2656,470,348,0.44,0.344,0.855,22.1,14.0,2.5,1.8,4.3,BRK
2021,2,44,Kessler Edwards,Pepperdine,138,1647,477,275,69,0.407,0.35,0.744,11.9,3.5,2.0,0.5,1.5,BRK
2021,2,59,RaiQuan Gray,Florida State,4,74,39,16,13,0.552,0.417,1.0,18.5,9.8,4.0,3.3,0.2,BRK
2020,1,19,Saddiq Bey,Villanova,292,8804,4103,1532,538,0.408,0.352,0.842,30.2,14.1,5.2,1.8,14.6,BRK
2020,2,55,Jay Scrubb,John A. Logan College,24,235,97,36,10,0.416,0.313,0.765,9.8,4.0,1.5,0.4,-0.1,BRK
2019,1,17,Nickeil Alexander-Walker,Virginia Tech,299,5869,2485,683,659,0.407,0.354,0.73,19.6,8.3,2.3,2.2,6.0,BRK
2019,1,27,Mfiondu Kabengele,Florida State,55,380,143,81,19,0.383,0.301,0.852,6.9,2.6,1.5,0.3,0.4,BRK
2019,2,31,Nicolas Claxton,Georgia,241,6142,2490,1882,378,0.661,0.158,0.544,25.5,10.3,7.8,1.6,21.8,BRK
2018,1,29,Džanan Musa,Out US,49,526,211,91,45,0.376,0.227,0.726,10.7,4.3,1.9,0.9,0.0,BRK
2018,2,40,Rodions Kurucs,Out US,131,2103,780,406,113,0.444,0.329,0.739,16.1,6.0,3.1,0.9,2.3,BRK
2018,2,45,Hamidou Diallo,Kentucky,265,4918,2272,1009,283,0.495,0.274,0.623,18.6,8.6,3.8,1.1,6.2,BRK
2017,1,22,Jarrett Allen,Texas,486,13725,6185,4441,790,0.63,0.171,0.711,28.2,12.7,9.1,1.6,55.1,BRK
2017,1,27,Kyle Kuzma,Utah,476,14919,8246,3043,1294,0.451,0.337,0.733,31.3,17.3,6.4,2.7,15.3,BRK
2017,2,57,Aleksandar Vezenkov,Out US,42,511,225,96,19,0.44,0.375,0.8,12.2,5.4,2.3,0.5,1.0,BRK
2016,2,55,Marcus Paige,UNC,5,28,12,4,3,0.286,0.25,1.0,5.6,2.4,0.8,0.6,0.0,BRK
2015,1,29,Chris McCullough,Syracuse,59,532,194,112,15,0.426,0.306,0.548,9.0,3.3,1.9,0.3,0.6,BRK
