PTS per game,TBR per game,AST per game,WS,Pick,College
12.3,6.8,1.9,48.0,1,US
11.5,4.1,1.5,35.2,7,US
14.1,3.9,2.6,44.8,8,US
5.0,2.5,0.8,1.1,9,US
2.1,2.6,0.0,-0.7,14,US
4.6,1.2,1.7,6.3,16,US
12.6,3.1,6.1,62.5,2,US
16.5,9.3,2.5,64.3,1,US
13.5,4.1,6.7,71.8,12,US
11.0,4.7,1.6,37.4,4,US
10.9,2.8,1.6,7.1,3,US
8.6,1.9,3.8,1.9,13,US
6.0,3.3,1.0,8.9,17,US
12.8,2.6,5.4,50.6,13,US
12.8,10.0,1.3,120.1,3,US
12.1,4.2,2.2,16.3,10,US
3.6,2.3,0.5,2.9,18,US
8.2,3.4,2.1,14.6,6,US
11.7,6.9,1.3,55.9,7,US
17.2,6.8,2.2,57.2,8,US
17.2,8.3,2.0,30.5,11,US
8.4,2.1,1.2,0.9,13,US
22.5,5.8,3.3,75.4,7,US
17.3,4.3,2.4,0.8,2,US
11.4,10.2,1.7,9.3,13,US
10.1,7.9,0.6,4.9,15,US
4.8,1.7,0.9,-0.3,11,US
20.0,6.2,7.4,11.6,3,Out US
12.9,5.5,2.2,12.5,12,US
22.8,4.7,4.9,43.6,11,US
11.6,2.5,2.8,12.4,11,US
8.8,3.8,1.6,15.9,9,US
4.7,4.9,0.7,9.4,9,US
7.9,5.7,1.3,33.5,4,US
8.4,5.4,1.2,21.0,2,US
19.3,3.8,5.3,59.8,9,US
16.3,6.2,2.4,70.2,19,US
11.2,3.2,1.9,18.3,12,US
9.5,1.8,3.9,47.7,9,US
5.3,3.9,0.5,7.5,20,Out US
7.0,3.6,0.5,26.2,8,US
7.5,2.1,1.4,-1.4,3,US
11.2,3.0,5.2,40.2,5,US
6.9,4.0,1.0,2.6,13,US
12.0,9.7,0.8,45.3,2,US
1.2,1.0,0.3,-0.5,16,US
7.2,6.5,0.6,27.7,19,US
16.1,3.8,7.2,63.1,3,US
25.0,5.2,4.7,172.7,13,Out US
9.1,2.5,1.9,19.5,16,US
4.5,1.1,1.0,1.3,17,US
6.9,3.5,1.4,16.4,20,US
17.1,8.5,1.1,89.7,2,US
16.2,7.5,3.3,69.7,1,US
13.4,4.1,3.0,47.8,5,US
