Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OWS,DWS,WS,Season,Salary,Team
Bilal Coulibaly,SF,19.0,63.0,1715.0,188.0,432.0,0.435,64.0,185.0,0.346,124.0,247.0,0.502,92.0,131.0,0.702,56.0,200.0,256.0,110.0,57.0,48.0,87.0,137.0,532.0,-0.5,0.9,0.4,2023-24,6614280.0,WAS
Ricky Council IV,SG,22.0,32.0,289.0,54.0,112.0,0.482,12.0,32.0,0.375,42.0,80.0,0.525,53.0,71.0,0.746,14.0,32.0,46.0,16.0,8.0,1.0,5.0,17.0,173.0,0.8,0.3,1.0,2023-24,864353.0,PHI
Robert Covington,SF,33.0,29.0,488.0,43.0,98.0,0.439,19.0,56.0,0.339,24.0,42.0,0.571,22.0,26.0,0.846,31.0,66.0,97.0,24.0,39.0,18.0,11.0,56.0,127.0,0.6,0.9,1.5,2023-24,11692308.0,PHI
Torrey Craig,SF,33.0,53.0,1049.0,108.0,251.0,0.43,60.0,153.0,0.392,48.0,98.0,0.49,27.0,36.0,0.75,69.0,148.0,217.0,58.0,30.0,21.0,32.0,110.0,303.0,1.0,0.9,1.9,2023-24,2528233.0,CHI
Jae Crowder,PF,33.0,50.0,1156.0,114.0,270.0,0.422,58.0,166.0,0.349,56.0,104.0,0.538,26.0,36.0,0.722,31.0,130.0,161.0,66.0,38.0,9.0,23.0,74.0,312.0,0.6,1.0,1.6,2023-24,2019706.0,MIL
Cade Cunningham,PG,22.0,62.0,2074.0,524.0,1167.0,0.449,119.0,335.0,0.355,405.0,832.0,0.487,238.0,274.0,0.869,33.0,235.0,268.0,464.0,56.0,22.0,212.0,153.0,1405.0,0.7,1.0,1.8,2023-24,11055360.0,DET
Seth Curry,SG,33.0,44.0,616.0,80.0,204.0,0.392,38.0,108.0,0.352,42.0,96.0,0.438,28.0,31.0,0.903,18.0,50.0,68.0,44.0,22.0,6.0,21.0,39.0,226.0,0.1,0.4,0.5,2023-24,4000000.0,CHO
Stephen Curry,PG,35.0,74.0,2421.0,650.0,1445.0,0.45,357.0,876.0,0.408,293.0,569.0,0.515,299.0,324.0,0.923,37.0,293.0,330.0,379.0,54.0,28.0,210.0,117.0,1956.0,5.2,2.0,7.2,2023-24,51915615.0,GSW
Dyson Daniels,PG,20.0,61.0,1358.0,139.0,311.0,0.447,42.0,135.0,0.311,97.0,176.0,0.551,34.0,53.0,0.642,62.0,174.0,236.0,164.0,85.0,25.0,59.0,101.0,354.0,0.7,2.2,2.9,2023-24,5784120.0,NOP
Anthony Davis,C,30.0,76.0,2700.0,713.0,1283.0,0.556,29.0,107.0,0.271,684.0,1176.0,0.582,421.0,516.0,0.816,239.0,722.0,961.0,266.0,91.0,178.0,159.0,177.0,1876.0,7.2,4.7,11.8,2023-24,40600080.0,LAL
Johnny Davis,SG,21.0,50.0,613.0,62.0,154.0,0.403,14.0,40.0,0.35,48.0,114.0,0.421,14.0,24.0,0.583,18.0,54.0,72.0,32.0,18.0,10.0,13.0,57.0,152.0,-0.3,0.2,-0.1,2023-24,5050800.0,WAS
DeMar DeRozan,SF,34.0,79.0,2989.0,650.0,1355.0,0.48,75.0,225.0,0.333,575.0,1130.0,0.509,522.0,612.0,0.853,43.0,297.0,340.0,421.0,90.0,45.0,135.0,161.0,1897.0,7.0,2.2,9.2,2023-24,28600000.0,CHI
Mamadi Diakite,PF,27.0,6.0,24.0,4.0,6.0,0.667,0.0,1.0,0.0,4.0,5.0,0.8,4.0,6.0,0.667,1.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,12.0,0.1,0.0,0.1,2023-24,368600.0,NYK
Mamadi Diakite,PF,27.0,6.0,24.0,4.0,6.0,0.667,0.0,1.0,0.0,4.0,5.0,0.8,4.0,6.0,0.667,1.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,12.0,0.1,0.0,0.1,2023-24,368600.0,NYK
Hamidou Diallo,SG,25.0,2.0,5.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2023-24,116075.0,WAS
Gradey Dick,SG,20.0,60.0,1268.0,189.0,445.0,0.425,88.0,241.0,0.365,101.0,204.0,0.495,44.0,51.0,0.863,27.0,105.0,132.0,68.0,34.0,2.0,50.0,87.0,510.0,-0.1,0.4,0.3,2023-24,4536720.0,TOR
Ousmane Dieng,PF,20.0,33.0,365.0,49.0,116.0,0.422,21.0,70.0,0.3,28.0,46.0,0.609,14.0,16.0,0.875,10.0,41.0,51.0,37.0,8.0,5.0,19.0,22.0,133.0,0.0,0.4,0.4,2023-24,4798440.0,OKC
Spencer Dinwiddie,PG,30.0,76.0,2152.0,251.0,640.0,0.392,124.0,368.0,0.337,127.0,272.0,0.467,169.0,210.0,0.805,30.0,175.0,205.0,356.0,51.0,22.0,91.0,138.0,795.0,2.3,1.3,3.6,2023-24,21911797.0,TOR
Spencer Dinwiddie,PG,30.0,76.0,2152.0,251.0,640.0,0.392,124.0,368.0,0.337,127.0,272.0,0.467,169.0,210.0,0.805,30.0,175.0,205.0,356.0,51.0,22.0,91.0,138.0,795.0,2.3,1.3,3.6,2023-24,21911797.0,LAL
Donte DiVincenzo,SG,27.0,81.0,2360.0,445.0,1004.0,0.443,283.0,705.0,0.401,162.0,299.0,0.542,86.0,114.0,0.754,63.0,234.0,297.0,216.0,107.0,36.0,113.0,166.0,1259.0,3.6,3.0,6.6,2023-24,10900000.0,NYK
Luka Dončić,PG,24.0,70.0,2624.0,804.0,1652.0,0.487,284.0,744.0,0.382,520.0,908.0,0.573,478.0,608.0,0.786,59.0,588.0,647.0,686.0,99.0,38.0,282.0,149.0,2370.0,8.5,3.5,12.0,2023-24,40064220.0,DAL
Luguentz Dort,SF,24.0,79.0,2246.0,288.0,657.0,0.438,156.0,396.0,0.394,132.0,261.0,0.506,128.0,155.0,0.826,74.0,210.0,284.0,113.0,72.0,47.0,74.0,228.0,860.0,2.0,2.5,4.6,2023-24,15277778.0,OKC
Ayo Dosunmu,SG,24.0,76.0,2212.0,360.0,719.0,0.501,119.0,295.0,0.403,241.0,424.0,0.568,85.0,105.0,0.81,54.0,162.0,216.0,242.0,68.0,36.0,103.0,166.0,924.0,2.6,1.5,4.1,2023-24,6481482.0,CHI
Jeff Dowtin,PG,26.0,12.0,142.0,20.0,36.0,0.556,9.0,19.0,0.474,11.0,17.0,0.647,3.0,4.0,0.75,3.0,17.0,20.0,27.0,7.0,1.0,5.0,1.0,52.0,0.4,0.2,0.6,2023-24,2196970.0,PHI
Jeff Dowtin,PG,26.0,12.0,142.0,20.0,36.0,0.556,9.0,19.0,0.474,11.0,17.0,0.647,3.0,4.0,0.75,3.0,17.0,20.0,27.0,7.0,1.0,5.0,1.0,52.0,0.4,0.2,0.6,2023-24,2196970.0,PHI
Andre Drummond,C,30.0,79.0,1351.0,267.0,480.0,0.556,0.0,3.0,0.0,267.0,477.0,0.56,129.0,218.0,0.592,265.0,443.0,708.0,37.0,73.0,48.0,81.0,140.0,663.0,2.3,2.6,4.9,2023-24,3360000.0,CHI
Chris Duarte,SF,26.0,59.0,719.0,80.0,210.0,0.381,44.0,127.0,0.346,36.0,83.0,0.434,26.0,33.0,0.788,26.0,80.0,106.0,44.0,28.0,8.0,26.0,80.0,230.0,0.0,0.7,0.7,2023-24,4124400.0,SAC
Kris Dunn,PG,29.0,66.0,1249.0,147.0,313.0,0.47,41.0,111.0,0.369,106.0,202.0,0.525,22.0,32.0,0.688,50.0,139.0,189.0,254.0,68.0,28.0,79.0,135.0,357.0,1.1,0.9,2.0,2023-24,2586665.0,UTA
Kevin Durant,PF,35.0,75.0,2791.0,751.0,1436.0,0.523,168.0,407.0,0.413,583.0,1029.0,0.567,362.0,423.0,0.856,41.0,454.0,495.0,378.0,69.0,91.0,244.0,133.0,2032.0,5.1,3.2,8.3,2023-24,47649433.0,PHO
Jalen Duren,C,20.0,61.0,1777.0,349.0,564.0,0.619,0.0,4.0,0.0,349.0,560.0,0.623,143.0,181.0,0.79,192.0,517.0,709.0,147.0,33.0,47.0,129.0,192.0,841.0,3.0,1.8,4.8,2023-24,4330680.0,DET
Tari Eason,PF,22.0,22.0,480.0,88.0,189.0,0.466,18.0,50.0,0.36,70.0,139.0,0.504,21.0,33.0,0.636,46.0,107.0,153.0,27.0,31.0,19.0,20.0,51.0,215.0,0.3,1.0,1.3,2023-24,3527160.0,HOU
Anthony Edwards,SG,22.0,79.0,2770.0,718.0,1558.0,0.461,190.0,532.0,0.357,528.0,1026.0,0.515,423.0,506.0,0.836,52.0,378.0,430.0,405.0,101.0,42.0,241.0,141.0,2049.0,2.9,4.7,7.5,2023-24,13534817.0,MIN
Kessler Edwards,SF,23.0,54.0,275.0,34.0,82.0,0.415,20.0,52.0,0.385,14.0,30.0,0.467,5.0,9.0,0.556,9.0,33.0,42.0,15.0,10.0,4.0,4.0,26.0,93.0,0.2,0.3,0.5,2023-24,1927896.0,SAC
Keon Ellis,SG,24.0,57.0,978.0,107.0,232.0,0.461,70.0,168.0,0.417,37.0,64.0,0.578,26.0,35.0,0.743,32.0,92.0,124.0,85.0,51.0,29.0,37.0,112.0,310.0,1.1,1.2,2.3,2023-24,683430.0,SAC
Joel Embiid,C,29.0,39.0,1309.0,450.0,851.0,0.529,54.0,139.0,0.388,396.0,712.0,0.556,399.0,452.0,0.883,95.0,335.0,430.0,219.0,46.0,66.0,150.0,112.0,1353.0,5.2,2.3,7.5,2023-24,47607350.0,PHI
Drew Eubanks,C,26.0,75.0,1169.0,152.0,253.0,0.601,3.0,3.0,1.0,149.0,250.0,0.596,72.0,93.0,0.774,103.0,219.0,322.0,63.0,27.0,61.0,61.0,115.0,379.0,1.6,1.6,3.1,2023-24,2346614.0,PHO
Tosan Evbuomwan,SF,22.0,17.0,367.0,36.0,71.0,0.507,12.0,32.0,0.375,24.0,39.0,0.615,17.0,25.0,0.68,18.0,42.0,60.0,16.0,6.0,5.0,9.0,23.0,101.0,0.4,0.2,0.5,2023-24,135120.0,DET
Tosan Evbuomwan,SF,22.0,17.0,367.0,36.0,71.0,0.507,12.0,32.0,0.375,24.0,39.0,0.615,17.0,25.0,0.68,18.0,42.0,60.0,16.0,6.0,5.0,9.0,23.0,101.0,0.4,0.2,0.5,2023-24,135120.0,MEM
Dante Exum,PG,28.0,55.0,1088.0,161.0,302.0,0.533,53.0,108.0,0.491,108.0,194.0,0.557,53.0,68.0,0.779,25.0,124.0,149.0,157.0,22.0,5.0,49.0,85.0,428.0,2.1,0.8,2.9,2023-24,3000000.0,DAL
Bruno Fernando,C,25.0,45.0,682.0,109.0,187.0,0.583,0.0,4.0,0.0,109.0,183.0,0.596,64.0,96.0,0.667,59.0,134.0,193.0,46.0,25.0,28.0,44.0,107.0,282.0,0.8,0.7,1.5,2023-24,2581522.0,ATL
Dorian Finney-Smith,PF,30.0,68.0,1934.0,215.0,511.0,0.421,117.0,336.0,0.348,98.0,175.0,0.56,33.0,46.0,0.717,109.0,208.0,317.0,107.0,56.0,38.0,59.0,150.0,580.0,1.0,1.6,2.6,2023-24,13932008.0,BRK
Malachi Flynn,PG,25.0,69.0,876.0,136.0,325.0,0.418,56.0,169.0,0.331,80.0,156.0,0.513,52.0,71.0,0.732,21.0,93.0,114.0,130.0,38.0,8.0,63.0,66.0,380.0,-0.1,0.6,0.5,2023-24,3873025.0,DET
Simone Fontecchio,SF,28.0,66.0,1644.0,252.0,548.0,0.46,134.0,334.0,0.401,118.0,214.0,0.551,54.0,66.0,0.818,64.0,182.0,246.0,101.0,44.0,23.0,68.0,110.0,692.0,1.5,0.6,2.1,2023-24,3044872.0,DET
Trent Forrest,SG,25.0,38.0,414.0,34.0,90.0,0.378,2.0,10.0,0.2,32.0,80.0,0.4,13.0,17.0,0.765,11.0,40.0,51.0,92.0,11.0,3.0,20.0,25.0,83.0,0.1,0.1,0.2,2023-24,533945.0,ATL
Evan Fournier,SG,31.0,32.0,580.0,79.0,221.0,0.357,33.0,130.0,0.254,46.0,91.0,0.505,29.0,36.0,0.806,5.0,53.0,58.0,48.0,29.0,7.0,21.0,48.0,220.0,-0.5,0.4,-0.1,2023-24,18857143.0,DET
De'Aaron Fox,PG,26.0,74.0,2659.0,720.0,1549.0,0.465,214.0,580.0,0.369,506.0,969.0,0.522,312.0,423.0,0.738,67.0,273.0,340.0,418.0,150.0,31.0,194.0,193.0,1966.0,3.3,3.2,6.5,2023-24,32600060.0,SAC
Javon Freeman-Liberty,PG,24.0,22.0,403.0,55.0,124.0,0.444,10.0,42.0,0.238,45.0,82.0,0.549,33.0,36.0,0.917,16.0,54.0,70.0,40.0,10.0,4.0,25.0,28.0,153.0,0.1,0.2,0.2,2023-24,289542.0,TOR
Markelle Fultz,PG,25.0,43.0,910.0,154.0,326.0,0.472,4.0,18.0,0.222,150.0,308.0,0.487,23.0,33.0,0.697,56.0,82.0,138.0,120.0,42.0,15.0,50.0,65.0,335.0,0.0,1.3,1.3,2023-24,17000000.0,ORL
Daniel Gafford,C,25.0,74.0,1815.0,348.0,480.0,0.725,0.0,0.0,0.0,348.0,480.0,0.725,118.0,175.0,0.674,195.0,367.0,562.0,115.0,65.0,153.0,74.0,227.0,814.0,5.2,2.5,7.8,2023-24,12402000.0,DAL
Danilo Gallinari,PF,35.0,49.0,630.0,83.0,190.0,0.437,30.0,93.0,0.323,53.0,97.0,0.546,84.0,98.0,0.857,20.0,88.0,108.0,55.0,14.0,6.0,23.0,50.0,280.0,1.0,0.3,1.3,2023-24,7464578.0,DET
Danilo Gallinari,PF,35.0,49.0,630.0,83.0,190.0,0.437,30.0,93.0,0.323,53.0,97.0,0.546,84.0,98.0,0.857,20.0,88.0,108.0,55.0,14.0,6.0,23.0,50.0,280.0,1.0,0.3,1.3,2023-24,7464578.0,MIL
Darius Garland,PG,24.0,57.0,1901.0,375.0,841.0,0.446,132.0,356.0,0.371,243.0,485.0,0.501,146.0,175.0,0.834,30.0,122.0,152.0,373.0,74.0,7.0,176.0,95.0,1028.0,0.7,2.0,2.7,2023-24,34005250.0,CLE
Usman Garuba,PF,21.0,6.0,18.0,1.0,6.0,0.167,0.0,1.0,0.0,1.0,5.0,0.2,1.0,2.0,0.5,3.0,4.0,7.0,1.0,1.0,3.0,2.0,2.0,3.0,-0.1,0.0,0.0,2023-24,2600008.0,OKC
Usman Garuba,PF,21.0,6.0,18.0,1.0,6.0,0.167,0.0,1.0,0.0,1.0,5.0,0.2,1.0,2.0,0.5,3.0,4.0,7.0,1.0,1.0,3.0,2.0,2.0,3.0,-0.1,0.0,0.0,2023-24,2600008.0,GSW
Luka Garza,C,25.0,25.0,122.0,36.0,75.0,0.48,9.0,32.0,0.281,27.0,43.0,0.628,18.0,25.0,0.72,19.0,12.0,31.0,4.0,4.0,1.0,6.0,24.0,99.0,0.2,0.2,0.4,2023-24,127683.0,MIN
Keyonte George,PG,20.0,75.0,2023.0,319.0,815.0,0.391,147.0,440.0,0.334,172.0,375.0,0.459,189.0,223.0,0.848,15.0,196.0,211.0,332.0,36.0,7.0,188.0,91.0,974.0,-0.4,0.1,-0.3,2023-24,3889800.0,UTA
Paul George,PF,33.0,74.0,2502.0,582.0,1236.0,0.471,243.0,588.0,0.413,339.0,648.0,0.523,264.0,291.0,0.907,37.0,351.0,388.0,262.0,113.0,37.0,153.0,202.0,1671.0,4.4,2.8,7.3,2023-24,45640084.0,LAC
Taj Gibson,PF,38.0,20.0,204.0,15.0,37.0,0.405,2.0,10.0,0.2,13.0,27.0,0.481,2.0,2.0,1.0,12.0,25.0,37.0,11.0,3.0,7.0,5.0,31.0,34.0,0.0,0.2,0.2,2023-24,2961636.0,WAS
Taj Gibson,PF,38.0,20.0,204.0,15.0,37.0,0.405,2.0,10.0,0.2,13.0,27.0,0.481,2.0,2.0,1.0,12.0,25.0,37.0,11.0,3.0,7.0,5.0,31.0,34.0,0.0,0.2,0.2,2023-24,2961636.0,NYK
Taj Gibson,PF,38.0,20.0,204.0,15.0,37.0,0.405,2.0,10.0,0.2,13.0,27.0,0.481,2.0,2.0,1.0,12.0,25.0,37.0,11.0,3.0,7.0,5.0,31.0,34.0,0.0,0.2,0.2,2023-24,2961636.0,DET
Taj Gibson,PF,38.0,20.0,204.0,15.0,37.0,0.405,2.0,10.0,0.2,13.0,27.0,0.481,2.0,2.0,1.0,12.0,25.0,37.0,11.0,3.0,7.0,5.0,31.0,34.0,0.0,0.2,0.2,2023-24,2961636.0,NYK
Taj Gibson,PF,38.0,20.0,204.0,15.0,37.0,0.405,2.0,10.0,0.2,13.0,27.0,0.481,2.0,2.0,1.0,12.0,25.0,37.0,11.0,3.0,7.0,5.0,31.0,34.0,0.0,0.2,0.2,2023-24,2961636.0,NYK
Taj Gibson,PF,38.0,20.0,204.0,15.0,37.0,0.405,2.0,10.0,0.2,13.0,27.0,0.481,2.0,2.0,1.0,12.0,25.0,37.0,11.0,3.0,7.0,5.0,31.0,34.0,0.0,0.2,0.2,2023-24,2961636.0,DET
Josh Giddey,SG,21.0,80.0,2011.0,402.0,847.0,0.475,82.0,243.0,0.337,320.0,604.0,0.53,100.0,124.0,0.806,111.0,403.0,514.0,386.0,51.0,44.0,168.0,111.0,986.0,1.4,2.9,4.3,2023-24,6587040.0,OKC
Harry Giles,C,25.0,23.0,100.0,23.0,50.0,0.46,3.0,14.0,0.214,20.0,36.0,0.556,7.0,13.0,0.538,12.0,18.0,30.0,6.0,2.0,3.0,6.0,15.0,56.0,0.0,0.1,0.1,2023-24,2019706.0,BRK
Shai Gilgeous-Alexander,PG,25.0,75.0,2553.0,796.0,1487.0,0.535,95.0,269.0,0.353,701.0,1218.0,0.576,567.0,649.0,0.874,65.0,350.0,415.0,465.0,150.0,67.0,162.0,184.0,2254.0,10.5,4.2,14.6,2023-24,33386850.0,OKC
Anthony Gill,PF,31.0,50.0,466.0,75.0,160.0,0.469,10.0,41.0,0.244,65.0,119.0,0.546,29.0,36.0,0.806,37.0,57.0,94.0,34.0,13.0,11.0,23.0,48.0,189.0,0.1,0.2,0.4,2023-24,1997238.0,WAS
Rudy Gobert,C,31.0,76.0,2593.0,406.0,614.0,0.661,0.0,3.0,0.0,406.0,611.0,0.664,249.0,390.0,0.638,285.0,697.0,982.0,102.0,52.0,162.0,118.0,238.0,1061.0,5.8,5.8,11.6,2023-24,41000000.0,MIN
Jordan Goodwin,PG,25.0,57.0,1055.0,141.0,382.0,0.369,42.0,141.0,0.298,99.0,241.0,0.411,44.0,59.0,0.746,88.0,165.0,253.0,155.0,48.0,18.0,56.0,76.0,368.0,-0.2,1.4,1.2,2023-24,1927896.0,BRK
Jordan Goodwin,PG,25.0,57.0,1055.0,141.0,382.0,0.369,42.0,141.0,0.298,99.0,241.0,0.411,44.0,59.0,0.746,88.0,165.0,253.0,155.0,48.0,18.0,56.0,76.0,368.0,-0.2,1.4,1.2,2023-24,1927896.0,MEM
Aaron Gordon,PF,28.0,73.0,2297.0,398.0,716.0,0.556,40.0,138.0,0.29,358.0,578.0,0.619,177.0,269.0,0.658,174.0,297.0,471.0,259.0,56.0,45.0,105.0,142.0,1013.0,4.5,2.6,7.1,2023-24,22266182.0,DEN
Eric Gordon,SG,35.0,68.0,1893.0,274.0,618.0,0.443,150.0,397.0,0.378,124.0,221.0,0.561,51.0,64.0,0.797,16.0,106.0,122.0,139.0,66.0,30.0,73.0,79.0,749.0,1.0,1.5,2.5,2023-24,3196448.0,PHO
Devonte' Graham,PG,28.0,23.0,313.0,38.0,108.0,0.352,25.0,83.0,0.301,13.0,25.0,0.52,13.0,16.0,0.813,5.0,31.0,36.0,49.0,9.0,2.0,17.0,14.0,114.0,-0.1,0.2,0.1,2023-24,12100000.0,SAS
Jerami Grant,PF,29.0,54.0,1830.0,383.0,850.0,0.451,111.0,276.0,0.402,272.0,574.0,0.474,255.0,312.0,0.817,37.0,154.0,191.0,152.0,45.0,34.0,116.0,117.0,1132.0,1.7,1.0,2.7,2023-24,27586207.0,POR
A.J. Green,SG,24.0,56.0,614.0,83.0,196.0,0.423,69.0,169.0,0.408,14.0,27.0,0.519,17.0,19.0,0.895,9.0,55.0,64.0,30.0,9.0,4.0,12.0,49.0,252.0,0.7,0.3,1.1,2023-24,1901769.0,MIL
Danny Green,SG,36.0,2.0,18.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2023-24,200000.0,PHI
Draymond Green,PF,33.0,55.0,1490.0,185.0,372.0,0.497,51.0,129.0,0.395,134.0,243.0,0.551,54.0,74.0,0.73,76.0,322.0,398.0,332.0,55.0,47.0,135.0,166.0,475.0,1.4,2.2,3.6,2023-24,22321429.0,GSW
Jalen Green,SG,21.0,82.0,2601.0,563.0,1332.0,0.423,201.0,605.0,0.332,362.0,727.0,0.498,283.0,352.0,0.804,41.0,382.0,423.0,291.0,66.0,28.0,191.0,115.0,1610.0,0.2,2.9,3.1,2023-24,9891480.0,HOU
Javonte Green,SF,30.0,9.0,230.0,45.0,75.0,0.6,10.0,27.0,0.37,35.0,48.0,0.729,10.0,13.0,0.769,20.0,47.0,67.0,5.0,10.0,8.0,7.0,19.0,110.0,0.5,0.3,0.9,2023-24,243758.0,CHI
Javonte Green,SF,30.0,9.0,230.0,45.0,75.0,0.6,10.0,27.0,0.37,35.0,48.0,0.729,10.0,13.0,0.769,20.0,47.0,67.0,5.0,10.0,8.0,7.0,19.0,110.0,0.5,0.3,0.9,2023-24,243758.0,CHI
Jeff Green,PF,37.0,78.0,1307.0,167.0,366.0,0.456,53.0,160.0,0.331,114.0,206.0,0.553,122.0,149.0,0.819,46.0,132.0,178.0,70.0,16.0,31.0,46.0,100.0,509.0,1.4,1.2,2.6,2023-24,9600000.0,HOU
Josh Green,SG,23.0,57.0,1505.0,179.0,374.0,0.479,72.0,187.0,0.385,107.0,187.0,0.572,39.0,57.0,0.684,40.0,144.0,184.0,130.0,47.0,9.0,60.0,107.0,469.0,1.0,1.2,2.2,2023-24,4765339.0,DAL
AJ Griffin,SF,20.0,20.0,171.0,18.0,62.0,0.29,10.0,39.0,0.256,8.0,23.0,0.348,2.0,2.0,1.0,2.0,16.0,18.0,5.0,1.0,2.0,8.0,6.0,48.0,-0.4,0.0,-0.4,2023-24,3712920.0,ATL
Quentin Grimes,SG,23.0,51.0,1025.0,122.0,328.0,0.372,81.0,240.0,0.338,41.0,88.0,0.466,34.0,45.0,0.756,15.0,85.0,100.0,66.0,35.0,7.0,28.0,75.0,359.0,0.3,1.0,1.3,2023-24,2385720.0,DET
Mouhamed Gueye,PF,21.0,6.0,73.0,8.0,23.0,0.348,3.0,9.0,0.333,5.0,14.0,0.357,5.0,6.0,0.833,10.0,12.0,22.0,4.0,5.0,4.0,1.0,13.0,24.0,0.1,0.1,0.2,2023-24,1119563.0,ATL
Rui Hachimura,PF,25.0,68.0,1826.0,363.0,676.0,0.537,98.0,232.0,0.422,265.0,444.0,0.597,99.0,134.0,0.739,58.0,236.0,294.0,81.0,41.0,25.0,46.0,101.0,923.0,2.7,1.5,4.1,2023-24,15740741.0,LAL
Ashton Hagans,PG,24.0,19.0,316.0,29.0,71.0,0.408,8.0,25.0,0.32,21.0,46.0,0.457,14.0,17.0,0.824,14.0,31.0,45.0,54.0,11.0,9.0,30.0,40.0,80.0,-0.2,0.3,0.0,2023-24,103550.0,POR
Tyrese Haliburton,PG,23.0,69.0,2224.0,500.0,1048.0,0.477,195.0,535.0,0.364,305.0,513.0,0.595,194.0,227.0,0.855,35.0,236.0,271.0,752.0,83.0,48.0,159.0,75.0,1389.0,7.6,1.5,9.0,2023-24,5808435.0,IND
Tim Hardaway Jr.,SF,31.0,79.0,2120.0,392.0,976.0,0.402,211.0,597.0,0.353,181.0,379.0,0.478,144.0,169.0,0.852,22.0,232.0,254.0,139.0,42.0,6.0,69.0,106.0,1139.0,0.8,1.4,2.2,2023-24,17897728.0,DAL
James Harden,PG,34.0,72.0,2470.0,352.0,822.0,0.428,186.0,488.0,0.381,166.0,334.0,0.497,302.0,344.0,0.878,34.0,335.0,369.0,614.0,77.0,57.0,185.0,127.0,1192.0,5.9,2.5,8.4,2023-24,35680595.0,LAC
Jaden Hardy,SG,21.0,73.0,989.0,195.0,479.0,0.407,81.0,224.0,0.362,114.0,255.0,0.447,59.0,76.0,0.776,20.0,111.0,131.0,109.0,22.0,4.0,62.0,80.0,530.0,-0.4,0.7,0.3,2023-24,1719864.0,DAL
Gary Harris,SG,29.0,54.0,1297.0,131.0,297.0,0.441,76.0,205.0,0.371,55.0,92.0,0.598,34.0,45.0,0.756,24.0,67.0,91.0,87.0,49.0,14.0,31.0,91.0,372.0,1.1,1.5,2.7,2023-24,13000000.0,ORL
Joe Harris,SG,32.0,16.0,170.0,14.0,39.0,0.359,10.0,30.0,0.333,4.0,9.0,0.444,1.0,2.0,0.5,3.0,10.0,13.0,10.0,3.0,2.0,4.0,19.0,39.0,0.0,0.0,0.0,2023-24,19928571.0,DET
Tobias Harris,PF,31.0,70.0,2368.0,463.0,951.0,0.487,91.0,258.0,0.353,372.0,693.0,0.537,187.0,213.0,0.878,80.0,373.0,453.0,217.0,70.0,46.0,93.0,115.0,1204.0,3.2,2.7,5.9,2023-24,39270150.0,PHI
Josh Hart,SF,28.0,81.0,2707.0,295.0,679.0,0.434,80.0,258.0,0.31,215.0,421.0,0.511,91.0,115.0,0.791,128.0,547.0,675.0,331.0,75.0,23.0,118.0,171.0,761.0,2.0,3.6,5.7,2023-24,12960000.0,NYK
Isaiah Hartenstein,C,25.0,75.0,1896.0,235.0,365.0,0.644,1.0,3.0,0.333,234.0,362.0,0.646,111.0,157.0,0.707,244.0,382.0,626.0,188.0,87.0,85.0,93.0,210.0,582.0,4.6,3.5,8.1,2023-24,9245121.0,NYK
Sam Hauser,SF,26.0,79.0,1741.0,249.0,558.0,0.446,197.0,465.0,0.424,52.0,93.0,0.559,17.0,19.0,0.895,45.0,231.0,276.0,82.0,40.0,25.0,32.0,99.0,712.0,2.7,2.1,4.9,2023-24,1927896.0,BOS
Jordan Hawkins,SG,21.0,67.0,1160.0,174.0,456.0,0.382,109.0,298.0,0.366,65.0,158.0,0.411,67.0,80.0,0.838,29.0,119.0,148.0,70.0,19.0,7.0,40.0,72.0,524.0,0.3,1.0,1.3,2023-24,4310160.0,NOP
Jaxson Hayes,C,23.0,70.0,877.0,126.0,175.0,0.72,0.0,8.0,0.0,126.0,167.0,0.754,51.0,82.0,0.622,69.0,142.0,211.0,33.0,34.0,29.0,43.0,123.0,303.0,1.4,1.1,2.5,2023-24,2165000.0,LAL
Killian Hayes,PG,22.0,42.0,1008.0,117.0,283.0,0.413,22.0,74.0,0.297,95.0,209.0,0.455,33.0,50.0,0.66,11.0,108.0,119.0,205.0,36.0,20.0,51.0,75.0,289.0,0.0,0.7,0.7,2023-24,7413955.0,DET
Gordon Hayward,SF,33.0,51.0,1245.0,187.0,403.0,0.464,37.0,90.0,0.411,150.0,313.0,0.479,89.0,120.0,0.742,38.0,143.0,181.0,158.0,40.0,13.0,66.0,67.0,500.0,0.6,0.9,1.5,2023-24,33319397.0,OKC
Scoot Henderson,PG,19.0,62.0,1765.0,307.0,797.0,0.385,87.0,268.0,0.325,220.0,529.0,0.416,167.0,204.0,0.819,53.0,141.0,194.0,336.0,48.0,13.0,212.0,195.0,868.0,-2.5,0.9,-1.7,2023-24,9770880.0,POR
